categoria,codigo,precio vina,precio venta,comision
Economico,ECO,2200,3000,800
Reserva,RES,3500,4500,1000
Kosher Economico,KOS ECO,3000,4000,1000
Kosher Reserva,KOS RES,4000,5000,1000
Kosher Sparkling,KOS SPAR,4300,5400,1100
Gran Reserva,GRAN RES,4500,5500,1000
Vado,VADO,4000,5000,1000
360°,360°,6500,8000,1500
Marea,MAREA,6500,8000,1500
CIEN,CIEN,13500,19000,5500
LFE 900 Blend,LFE 900 BL,13500,19000,5500
LFE 900 Malbec,LFE 900 MB,15000,23000,8000
Doña Bernarda,DOÑA,16000,23000,7000
Pater,PATER,35000,42000,7000
Flete,FLETE,4200,5000,800
